train_loss,epoch,step,val_loss,val_acc,train_acc,test_acc
0.6824328303337097,0,49,,,,
0.6306521892547607,0,99,,,,
0.5750517845153809,0,149,,,,
0.5810668468475342,0,199,,,,
0.575361430644989,0,249,,,,
0.5269561409950256,0,299,,,,
0.5482065081596375,0,349,,,,
0.6476285457611084,0,399,,,,
0.4148269593715668,0,449,,,,
,0,449,0.5138535499572754,0.7512500286102295,,
,0,449,,,0.7247916460037231,
0.44991838932037354,1,499,,,,
0.5842857360839844,1,549,,,,
0.3399520516395569,1,599,,,,
0.36557069420814514,1,649,,,,
0.5328510403633118,1,699,,,,
0.39467957615852356,1,749,,,,
0.2953079342842102,1,799,,,,
0.6217108368873596,1,849,,,,
0.3087795078754425,1,899,,,,
,1,899,0.4687254726886749,0.7918750047683716,,
,1,899,,,0.7825000286102295,
0.44740480184555054,2,949,,,,
0.42821645736694336,2,999,,,,
0.36282721161842346,2,1049,,,,
0.3827994763851166,2,1099,,,,
0.623105525970459,2,1149,,,,
0.4427219331264496,2,1199,,,,
0.41805300116539,2,1249,,,,
0.37158438563346863,2,1299,,,,
0.2362765371799469,2,1349,,,,
,2,1349,0.45014214515686035,0.8081250190734863,,
,2,1349,,,0.8168749809265137,
0.310097873210907,3,1399,,,,
0.30439743399620056,3,1449,,,,
0.2335279881954193,3,1499,,,,
0.39823976159095764,3,1549,,,,
0.20795871317386627,3,1599,,,,
0.46157658100128174,3,1649,,,,
0.3011990785598755,3,1699,,,,
0.3713728189468384,3,1749,,,,
0.44495221972465515,3,1799,,,,
,3,1799,0.40867382287979126,0.8293750286102295,,
,3,1799,,,0.8277778029441833,
0.48602837324142456,4,1849,,,,
0.5646278262138367,4,1899,,,,
0.2641095519065857,4,1949,,,,
0.3619804382324219,4,1999,,,,
0.4591068625450134,4,2049,,,,
0.20010727643966675,4,2099,,,,
0.3704513907432556,4,2149,,,,
0.2517949044704437,4,2199,,,,
0.3982089161872864,4,2249,,,,
,4,2249,0.47784367203712463,0.8112499713897705,,
,4,2249,,,0.8356249928474426,
0.6201788187026978,5,2299,,,,
0.24748635292053223,5,2349,,,,
0.354653537273407,5,2399,,,,
0.5176438093185425,5,2449,,,,
0.6114627122879028,5,2499,,,,
0.3464169502258301,5,2549,,,,
0.49084433913230896,5,2599,,,,
0.19500871002674103,5,2649,,,,
0.20889249444007874,5,2699,,,,
,5,2699,0.40816739201545715,0.8331249952316284,,
,5,2699,,,0.8503472208976746,
0.337836891412735,6,2749,,,,
0.5989588499069214,6,2799,,,,
0.31393831968307495,6,2849,,,,
0.528862476348877,6,2899,,,,
0.3048970401287079,6,2949,,,,
0.3827359080314636,6,2999,,,,
0.40237244963645935,6,3049,,,,
0.21944797039031982,6,3099,,,,
0.6196260452270508,6,3149,,,,
,6,3149,0.40223753452301025,0.8462499976158142,,
,6,3149,,,0.8526389002799988,
0.7286810874938965,7,3199,,,,
0.36429452896118164,7,3249,,,,
0.32983314990997314,7,3299,,,,
0.25068873167037964,7,3349,,,,
0.15972895920276642,7,3399,,,,
0.2594088613986969,7,3449,,,,
0.26133477687835693,7,3499,,,,
0.33206698298454285,7,3549,,,,
0.5569872260093689,7,3599,,,,
,7,3599,0.41793304681777954,0.8299999833106995,,
,7,3599,,,0.8600000143051147,
0.29655352234840393,8,3649,,,,
0.1559818536043167,8,3699,,,,
0.26234930753707886,8,3749,,,,
0.36350205540657043,8,3799,,,,
0.27069589495658875,8,3849,,,,
0.273721307516098,8,3899,,,,
0.3922419250011444,8,3949,,,,
0.1971287876367569,8,3999,,,,
0.3415457606315613,8,4049,,,,
,8,4049,0.42027047276496887,0.840624988079071,,
,8,4049,,,0.8613194227218628,
0.2698891758918762,9,4099,,,,
0.45125073194503784,9,4149,,,,
0.3285636901855469,9,4199,,,,
0.23972274363040924,9,4249,,,,
0.3256060779094696,9,4299,,,,
0.2693764865398407,9,4349,,,,
0.2286311537027359,9,4399,,,,
0.19016994535923004,9,4449,,,,
0.34044280648231506,9,4499,,,,
,9,4499,0.4034193158149719,0.8431249856948853,,
,9,4499,,,0.8692361116409302,
0.21487414836883545,10,4549,,,,
0.33138343691825867,10,4599,,,,
0.46368205547332764,10,4649,,,,
0.33385801315307617,10,4699,,,,
0.22587993741035461,10,4749,,,,
0.4508377015590668,10,4799,,,,
0.6783931851387024,10,4849,,,,
0.24649621546268463,10,4899,,,,
0.45370009541511536,10,4949,,,,
,10,4949,0.38136157393455505,0.8500000238418579,,
,10,4949,,,0.8751388788223267,
0.45244234800338745,11,4999,,,,
0.2776815593242645,11,5049,,,,
0.30115383863449097,11,5099,,,,
0.20467877388000488,11,5149,,,,
0.1609770804643631,11,5199,,,,
0.3356987237930298,11,5249,,,,
0.6670356392860413,11,5299,,,,
0.24517139792442322,11,5349,,,,
0.2367807924747467,11,5399,,,,
,11,5399,0.38586878776550293,0.8600000143051147,,
,11,5399,,,0.8770833611488342,
0.26545450091362,12,5449,,,,
0.2726428806781769,12,5499,,,,
0.19943779706954956,12,5549,,,,
0.3358888328075409,12,5599,,,,
0.2755817174911499,12,5649,,,,
0.27204421162605286,12,5699,,,,
0.2846613824367523,12,5749,,,,
0.21364229917526245,12,5799,,,,
0.22554390132427216,12,5849,,,,
,12,5849,0.41878044605255127,0.8537499904632568,,
,12,5849,,,0.8778471946716309,
0.4768996834754944,13,5899,,,,
0.24353590607643127,13,5949,,,,
0.3256726562976837,13,5999,,,,
0.38416874408721924,13,6049,,,,
0.40862366557121277,13,6099,,,,
0.1733688861131668,13,6149,,,,
0.2718859016895294,13,6199,,,,
0.18194809556007385,13,6249,,,,
0.25908294320106506,13,6299,,,,
,13,6299,0.37702587246894836,0.8537499904632568,,
,13,6299,,,0.882777750492096,
0.36866575479507446,14,6349,,,,
0.288459837436676,14,6399,,,,
0.43053844571113586,14,6449,,,,
0.7778412699699402,14,6499,,,,
0.1499069631099701,14,6549,,,,
0.295538067817688,14,6599,,,,
0.3664032816886902,14,6649,,,,
0.4913110136985779,14,6699,,,,
0.6354923844337463,14,6749,,,,
,14,6749,0.39792370796203613,0.8550000190734863,,
,14,6749,,,0.8838194608688354,
0.3187423348426819,15,6799,,,,
0.14340561628341675,15,6849,,,,
0.5381175875663757,15,6899,,,,
0.11545921862125397,15,6949,,,,
0.40436631441116333,15,6999,,,,
0.352841854095459,15,7049,,,,
0.5565135478973389,15,7099,,,,
0.20200498402118683,15,7149,,,,
0.43115440011024475,15,7199,,,,
,15,7199,0.37273746728897095,0.8512499928474426,,
,15,7199,,,0.8861111402511597,
0.4532906711101532,16,7249,,,,
0.2694767713546753,16,7299,,,,
0.11447600275278091,16,7349,,,,
0.22494620084762573,16,7399,,,,
0.13731157779693604,16,7449,,,,
0.36439967155456543,16,7499,,,,
0.2381637543439865,16,7549,,,,
0.22326119244098663,16,7599,,,,
